borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
QN,4,1232,75,4012320075,39-02,39-06,63 STREET,2020000000000,"JR SOLO WOODSIDE, LLC",04/16/2019,6275000,0.03511,0.03942,2019Q2,11377,40.746453,-73.900829,2,26,261,4028396,Woodside,"(40.746453, -73.900829)"
QN,4,9845,1,4098450001,175-27,175-27,87 DRIVE,2020000000000,WEXFORD ASSETS LLC,01/10/2019,16263095,0.03224,0.03234,2019Q1,11432,40.712788,-73.78733,8,24,466,4210598,Jamaica Estates-Holliswood,"(40.712788, -73.78733)"
BK,3,6820,75,3068200075,1829,1829,EAST 14 STREET,2020000000000,ANDI 1829 LLC,11/16/2020,3500000,0.03687,0.0624,2020Q4,11229,40.604885,-73.958484,15,48,556,3183991,Homecrest,"(40.604885, -73.958484)"
BX,2,4234,52,2042340052,1921,1921,HOBART AVENUE,2020000000000,ARBER REALTY LLC,10/22/2020,5450000,0.0431,0.04708,2020Q4,10461,40.850005,-73.831246,10,13,300,2047353,Pelham Bay-Country Club-City Island,"(40.850005, -73.831246)"
BX,2,2460,30,2024600030,181,181,EAST 161 STREET,2020000000000,161 NORTH REALTY LLC,02/21/2019,11600000,0.03536,0.03667,2019Q1,10451,40.826549,-73.921624,4,16,18301,2002807,East Concourse-Concourse Village,"(40.826549, -73.921624)"
BX,2,3286,51,2032860051,2565,2565,MARION AVENUE,2020000000000,"MARION HEIGHTS ASSOCIATES, LLC",08/31/2018,6288000,0.02874,0.03426,2018Q3,10458,40.862931,-73.892217,7,15,39901,2016602,Bedford Park-Fordham North,"(40.862931, -73.892217)"
QN,4,16229,41,4162290041,131,131,BEACH 119 STREET,2020000000000,BEACH 119 APTS LLC,09/16/2020,7000000,0.04337,0.05469,2020Q3,11694,40.577727,-73.839054,14,32,93402,4304877,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.577727, -73.839054)"
BK,3,748,57,3007480057,545,545,46 STREET,2020000000000,545-553-557 46TH STREET LLC,01/09/2020,3500000,0.03901,0.05115,2020Q1,11220,40.646737,-74.006958,7,38,96,3011635,Sunset Park East,"(40.646737, -74.006958)"
BK,3,6716,75,3067160075,1025,1033,EAST 14 STREET,2020000000000,WALLK REALTY LLC,11/01/2018,9300000,0.03392,0.03398,2018Q4,11230,40.624177,-73.962136,14,44,534,3179994,Midwood,"(40.624177, -73.962136)"
MN,1,2159,43,1021590043,540,540,WEST 189 STREET,2020000000000,540 WEST 189TH GROUP LLC,10/04/2018,7725000,0.02831,0.03253,2018Q4,10040,40.853586,-73.928388,12,10,277,1063853,Washington Heights North,"(40.853586, -73.928388)"
BX,2,2456,36,2024560036,1056,1056,SHERIDAN AVENUE,2020000000000,1048-1064 SHERIDAN INVESTORS LLC,06/15/2018,3092000,0.03075,0.03665,2018Q2,10456,40.830722,-73.918706,4,16,18102,2002733,East Concourse-Concourse Village,"(40.830722, -73.918706)"
BK,3,5733,49,3057330049,1367,1367,63 STREET,2020000000000,1365 63RD STREET LLC,06/20/2018,3100000,0.03597,0.03671,2018Q2,11219,40.626324,-73.998941,10,38,192,3141643,Borough Park,"(40.626324, -73.998941)"
