bbl,isn_dob_bis_extract,dob_violation_number,ecb_violation_status,issue_date,violation_type,elig_flag,qual_flag,swl_flag
1015470006,NA,NA,NA,NA,NA,T,F,F
1015470130,NA,NA,NA,NA,NA,T,F,F
1015480036,NA,NA,NA,NA,NA,T,F,F
1015490015,NA,NA,NA,NA,NA,T,F,F
1015490016,NA,NA,NA,NA,NA,T,F,F
1015490017,NA,NA,NA,NA,NA,T,F,F
1015500023,NA,NA,NA,NA,NA,T,F,F
1015510001,NA,NA,NA,NA,NA,T,F,F
1015510002,NA,NA,NA,NA,NA,T,F,F
1015510019,NA,NA,NA,NA,NA,T,F,F
1015510049,NA,NA,NA,NA,NA,T,F,F
1015520011,1519386,062817C08DM02,ACTIVE,2017-06-28T00:00:00Z,Construction,T,F,F
1015520011,1519375,062817C08DM01,ACTIVE,2017-06-28T00:00:00Z,Construction,T,F,F
1015520012,NA,NA,NA,NA,NA,T,F,F
1015520021,NA,NA,NA,NA,NA,T,F,F
1015520035,NA,NA,NA,NA,NA,T,F,F
1015520041,NA,NA,NA,NA,NA,T,F,F
1015530002,NA,NA,NA,NA,NA,T,F,F
1015530009,NA,NA,NA,NA,NA,T,F,F
1015530011,NA,NA,NA,NA,NA,T,F,F
1015530032,NA,NA,NA,NA,NA,T,F,F
1015530104,NA,NA,NA,NA,NA,T,F,F
1015540001,NA,NA,NA,NA,NA,T,F,F
1015540030,NA,NA,NA,NA,NA,T,F,F
1015540038,NA,NA,NA,NA,NA,T,F,F
1015540049,1231974,,RESOLVE,2019-08-07T00:00:00Z,Construction,T,F,F
1015550033,NA,NA,NA,NA,NA,T,F,F
1015550042,NA,NA,NA,NA,NA,T,F,F
1015560005,NA,NA,NA,NA,NA,T,F,F
1015560008,NA,NA,NA,NA,NA,T,F,F
1015560011,NA,NA,NA,NA,NA,T,F,F
1015570025,NA,NA,NA,NA,NA,T,F,F
1015570035,NA,NA,NA,NA,NA,T,F,F
1015600016,NA,NA,NA,NA,NA,T,F,F
1015600021,1255239,070617CSSUPW01,RESOLVE,2017-07-06T00:00:00Z,Construction,T,F,F
1015600021,1488842,08052020SGSPOFK01,ACTIVE,2020-08-05T00:00:00Z,Construction,T,F,F
1015600021,947194,122718CSPOEC01,RESOLVE,2018-11-05T00:00:00Z,Construction,T,F,F
1015600042,NA,NA,NA,NA,NA,T,F,F
1015600044,NA,NA,NA,NA,NA,T,F,F
1015610001,NA,NA,NA,NA,NA,T,F,F
1015610009,NA,NA,NA,NA,NA,T,F,F
1015610014,NA,NA,NA,NA,NA,T,F,F
1015610015,NA,NA,NA,NA,NA,T,F,F
1015610045,NA,NA,NA,NA,NA,T,F,F
1015610046,1408435,,ACTIVE,2019-08-19T00:00:00Z,Construction,T,F,F
1015610046,1191229,100418PLOBMMT01,RESOLVE,2018-08-20T00:00:00Z,Construction,T,F,F
1015620001,NA,NA,NA,NA,NA,T,F,F
1015620008,NA,NA,NA,NA,NA,T,F,F
1015620014,NA,NA,NA,NA,NA,T,F,F
1015620015,NA,NA,NA,NA,NA,T,F,F
1015620017,NA,NA,NA,NA,NA,T,F,F
1015620019,NA,NA,NA,NA,NA,T,F,F
1015620023,NA,NA,NA,NA,NA,T,F,F
1015620030,NA,NA,NA,NA,NA,T,F,F
1015620031,NA,NA,NA,NA,NA,T,F,F
1015620044,1423347,011819PL08KO01,ACTIVE,2019-01-18T00:00:00Z,Construction,T,F,F
1015630001,NA,NA,NA,NA,NA,T,F,F
1015630002,NA,NA,NA,NA,NA,T,F,F
1015630003,NA,NA,NA,NA,NA,T,F,F
1015630005,NA,NA,NA,NA,NA,T,F,F
1015630016,NA,NA,NA,NA,NA,T,F,F
1015630017,NA,NA,NA,NA,NA,T,F,F
1015630024,NA,NA,NA,NA,NA,T,F,F
1015640037,NA,NA,NA,NA,NA,T,T,F
1015640038,NA,NA,NA,NA,NA,T,T,F
1015640041,NA,NA,NA,NA,NA,T,F,F
1015650005,NA,NA,NA,NA,NA,T,F,F
1015650006,NA,NA,NA,NA,NA,T,F,F
1015670029,1191487,011817C08MS02,RESOLVE,2017-01-18T00:00:00Z,Construction,T,F,F
1015670043,NA,NA,NA,NA,NA,T,F,F
1015680001,1521943,062216PL08FD01,RESOLVE,2016-06-22T00:00:00Z,Construction,T,F,F
1015680033,NA,NA,NA,NA,NA,T,F,F
1015680039,NA,NA,NA,NA,NA,T,F,F
1015700024,NA,NA,NA,NA,NA,T,F,F
1015710049,NA,NA,NA,NA,NA,T,F,F
1015760049,NA,NA,NA,NA,NA,T,F,F
1015770008,NA,NA,NA,NA,NA,T,F,F
1015770041,NA,NA,NA,NA,NA,T,F,F
1015780010,NA,NA,NA,NA,NA,T,F,F
1015780017,1436107,062317PL08MJ01,RESOLVE,2017-06-23T00:00:00Z,Construction,T,F,F
1015800015,NA,NA,NA,NA,NA,T,F,F
1015800016,NA,NA,NA,NA,NA,T,F,F
1015800020,NA,NA,NA,NA,NA,T,F,F
1015820015,NA,NA,NA,NA,NA,T,F,F
1015840033,NA,NA,NA,NA,NA,T,F,F
1015840035,NA,NA,NA,NA,NA,T,F,F
1015840040,NA,NA,NA,NA,NA,T,F,F
1015840049,NA,NA,NA,NA,NA,T,F,F
1015850014,NA,NA,NA,NA,NA,T,T,F
1015860001,NA,NA,NA,NA,NA,T,F,F
1015940040,NA,NA,NA,NA,NA,T,F,F
1015990001,NA,NA,NA,NA,NA,T,F,F
1015990003,NA,NA,NA,NA,NA,T,F,F
1016020066,NA,NA,NA,NA,NA,T,F,F
1016030031,NA,NA,NA,NA,NA,T,F,F
1016030035,NA,NA,NA,NA,NA,T,F,F
1016030059,NA,NA,NA,NA,NA,T,F,F
1016100013,NA,NA,NA,NA,NA,T,F,F
1016100059,NA,NA,NA,NA,NA,T,F,F
1016100060,NA,NA,NA,NA,NA,T,F,F
1016100062,NA,NA,NA,NA,NA,T,F,F
1016100064,NA,NA,NA,NA,NA,T,F,F
1016140013,NA,NA,NA,NA,NA,T,F,F
1016140014,NA,NA,NA,NA,NA,T,F,F
1016150011,NA,NA,NA,NA,NA,T,T,T
1016150014,NA,NA,NA,NA,NA,T,F,F
1016160030,NA,NA,NA,NA,NA,T,F,F
1016160039,NA,NA,NA,NA,NA,T,F,F
1016160051,NA,NA,NA,NA,NA,T,F,F
1016210006,NA,NA,NA,NA,NA,T,F,F
1016210014,NA,NA,NA,NA,NA,T,F,F
1016210022,1201291,032517C11MS01,RESOLVE,2017-03-25T00:00:00Z,Construction,T,F,F
1016210028,NA,NA,NA,NA,NA,T,F,F
1016210036,NA,NA,NA,NA,NA,T,F,F
1016210041,NA,NA,NA,NA,NA,T,F,F
1016210060,NA,NA,NA,NA,NA,T,F,F
1016210062,1418157,,RESOLVE,2019-06-08T00:00:00Z,Construction,T,F,F
1016210065,NA,NA,NA,NA,NA,T,F,F
1016220031,NA,NA,NA,NA,NA,T,F,F
1016220073,NA,NA,NA,NA,NA,T,F,F
1016230030,NA,NA,NA,NA,NA,T,F,F
1016230035,NA,NA,NA,NA,NA,T,F,F
1016230040,782135,,RESOLVE,2019-03-06T00:00:00Z,Construction,T,F,F
1016230040,1495070,,RESOLVE,2019-03-06T00:00:00Z,Construction,T,F,F
1016240015,NA,NA,NA,NA,NA,T,F,F
1016240021,NA,NA,NA,NA,NA,T,T,T
1016240025,NA,NA,NA,NA,NA,T,F,F
1016240041,NA,NA,NA,NA,NA,T,F,F
1016240045,NA,NA,NA,NA,NA,T,F,F
1016250016,NA,NA,NA,NA,NA,T,F,F
1016250047,NA,NA,NA,NA,NA,T,T,F
1016250048,NA,NA,NA,NA,NA,T,T,F
1016270023,NA,NA,NA,NA,NA,T,F,F
1016270030,NA,NA,NA,NA,NA,T,F,F
1016270031,NA,NA,NA,NA,NA,T,F,F
1016270032,NA,NA,NA,NA,NA,T,F,F
1016270037,NA,NA,NA,NA,NA,T,F,F
1016270038,NA,NA,NA,NA,NA,T,F,F
1016270046,NA,NA,NA,NA,NA,T,F,F
1016270050,NA,NA,NA,NA,NA,T,F,F
1016280014,NA,NA,NA,NA,NA,T,F,F
1016280020,NA,NA,NA,NA,NA,T,F,F
1016280022,NA,NA,NA,NA,NA,T,F,F
1016280050,1439263,10032018CMTFRC01,ACTIVE,2018-10-03T00:00:00Z,Construction,T,F,F
1016280052,NA,NA,NA,NA,NA,T,F,F
